instance,formulation,is_optimal,obj_val,lp_relaxation,node_count,solve_time
instance_01.json,1a_Natural,True,8.0,6.320000000000008,1.0,1.1984641551971436
instance_01.json,1b_Clique,True,8.0,6.32,1.0,2.354452133178711
instance_01.json,2_Extended,True,8.0,7.183333333333333,1.0,0.04226374626159668
instance_02.json,1a_Natural,True,9.0,7.320000000000008,943.0,1.8894848823547363
instance_02.json,1b_Clique,True,9.0,7.320000000000003,791.0,7.938102960586548
instance_02.json,2_Extended,True,9.0,7.920634920634918,1.0,0.08316874504089355
instance_03.json,1a_Natural,True,9.0,7.879999999999996,209.0,2.692997932434082
instance_03.json,1b_Clique,True,9.0,7.880000000000002,153.0,3.24259614944458
instance_03.json,2_Extended,True,9.0,8.118712273641853,1.0,0.09601426124572754
instance_04.json,1a_Natural,True,13.0,12.839999999999993,207271.0,99.36243891716003
instance_04.json,1b_Clique,False,13.0,12.840000000000023,9104.0,120.04773616790771
instance_04.json,2_Extended,True,13.0,12.839999999999998,1.0,0.613814115524292
instance_05.json,1a_Natural,True,13.0,12.40000000000002,1.0,10.89250898361206
instance_05.json,1b_Clique,True,13.0,12.399999999999993,1.0,37.281392097473145
instance_05.json,2_Extended,True,13.0,12.4,1.0,0.5829417705535889
instance_06.json,1a_Natural,False,14.0,12.879999999999992,32091.0,120.04144811630249
instance_06.json,1b_Clique,False,14.0,12.87999999999992,3781.0,120.02793502807617
instance_06.json,2_Extended,True,13.0,12.880000000000003,413.0,2.4352638721466064
instance_07.json,1a_Natural,True,13.0,12.68000000000001,6516.0,21.256246089935303
instance_07.json,1b_Clique,True,13.0,12.67999999999999,1524.0,101.50731706619263
instance_07.json,2_Extended,True,13.0,12.680000000000001,1.0,1.7592658996582031
instance_08.json,1a_Natural,True,16.0,15.359999999999992,1.0,20.02481698989868
instance_08.json,1b_Clique,True,16.0,15.360000000000014,1.0,115.47534489631653
instance_08.json,2_Extended,True,16.0,15.359999999999998,1.0,0.7653210163116455
instance_09.json,1a_Natural,True,15.0,14.160000000000005,1.0,15.44406795501709
instance_09.json,1b_Clique,False,75.0,14.16000000000002,1.0,120.0204770565033
instance_09.json,2_Extended,True,15.0,14.160000000000002,1.0,1.1271748542785645
instance_10.json,1a_Natural,False,16.0,14.67999999999998,29094.0,120.01380586624146
instance_10.json,1b_Clique,False,73.0,14.680000000000012,1.0,120.03633499145508
instance_10.json,2_Extended,True,15.0,14.680000000000005,1.0,0.8920252323150635
